order_item_id,order_id,product_id,quantity,unit_price,discount_applied,discount_amount
f62ac7a8-b028-4234-90e1-cca469d2d7a5,5f815692-8496-4d2d-a1d6-8ccb4353f5f5,de8236c9-ad71-45a5-99b4-18445c15801d,3,16.45,FALSE,0
43232f2e-07fa-4e97-80a1-e9578d3fb28e,ae61fecc-8b06-42a8-a528-45497b170f5f,915f0730-59a6-4e76-8133-211ecf3b9033,2,32.36,FALSE,0
f9b6131c-52ba-422c-8055-6082feb966ea,02745c51-212e-4bc5-aa45-ea6be8cdd48a,84818689-9ac1-4ae6-8275-586880502bd1,2,568.21,FALSE,0
ebeba0ff-874f-4db5-8772-d09b04f5e771,02745c51-212e-4bc5-aa45-ea6be8cdd48a,928d07b4-3495-47b2-adfa-200fb317068c,1,142.75,FALSE,0
8042a44a-ee3b-4b5c-b8fd-6f3dc9f2b086,02745c51-212e-4bc5-aa45-ea6be8cdd48a,c489b7fb-dc4f-43d9-965a-e2b5f0391d49,3,439.3,FALSE,0
0e9dfcb2-bf56-4d73-8224-c5cca73a66bf,02745c51-212e-4bc5-aa45-ea6be8cdd48a,ae0ac329-338a-4d86-99aa-b30ce16752c8,1,145.59,FALSE,0
999893cf-8971-4f35-a7d0-36b1f501d32f,528dcd6a-e4e6-4110-93a8-ebc48d5b3d73,55605097-9d6b-4b0b-ba77-ad403f2b034f,3,428.33,FALSE,0
c2b053e1-7bf2-4eac-83c2-49286cc71d08,528dcd6a-e4e6-4110-93a8-ebc48d5b3d73,a6567026-9aaa-4424-87f8-293e4c6cb8b9,2,47.54,FALSE,0
f358e400-06f4-42c1-80c4-3a35808aaa22,528dcd6a-e4e6-4110-93a8-ebc48d5b3d73,1be5889d-9632-428b-8355-7ca4395f260d,3,1960.86,FALSE,0
4b998563-101b-4f5f-88af-d1d2ccba7d7e,23cb9ba6-e116-44ee-94d6-a4480ba3bd82,04a4f2ee-4c3a-4c7d-a24a-45026e8ca399,2,135.12,FALSE,0
62549a89-d65b-408e-b680-9533af3a9ea2,fed4bd1d-a3b8-424d-ac89-834a13c1318b,ea30e405-6c90-4914-a614-42d51870c0d5,1,687.21,FALSE,0
3ef5caf2-9763-4d52-b3fc-4273e9ea3574,b52d4253-bf48-472f-bc72-c8a433787077,4cdfcc12-9cb4-4493-8b36-690b2d26903d,1,28.86,FALSE,0
e2ffb8e9-1dab-40a5-a2ba-8d0bff5b9279,b52d4253-bf48-472f-bc72-c8a433787077,a585f77a-c62d-436c-9bab-9cbbb5a0f3b3,1,94.31,TRUE,15
18e4f3f7-f42a-46eb-a4c1-c265915fd227,b52d4253-bf48-472f-bc72-c8a433787077,895e6f82-4813-4e5d-bbc3-ca380851a844,2,10.23,FALSE,0
ace41baa-02a2-4dd5-a2b6-944906587514,b52d4253-bf48-472f-bc72-c8a433787077,b832b7fd-0e60-4b83-8cde-5d815529647b,1,394.36,FALSE,0
9a93ccc4-851c-4cdc-8f2b-5306047174ba,b52d4253-bf48-472f-bc72-c8a433787077,d64eb15e-4d92-4745-a4fe-4b8451473af2,1,23.24,FALSE,0
84697b8b-d79a-4acd-a192-37e791e07491,303e901f-cfda-41d6-8cb0-67f83abf796d,184abd86-a3bc-476d-b1d6-1ecc547d0e42,3,161.07,FALSE,0
be7cffc2-3527-45b0-b339-0c4238b1da4c,303e901f-cfda-41d6-8cb0-67f83abf796d,4b1b74ad-a7a2-4c13-a656-b9a00d77bc72,1,245.65,FALSE,0
e0f5402a-a226-4603-a8bf-4a642790299c,303e901f-cfda-41d6-8cb0-67f83abf796d,628d7ff2-81cb-4ffc-b2e6-47695b3fda75,3,1917.35,FALSE,0
49012c53-16b5-46af-861c-873ee16fc4b0,303e901f-cfda-41d6-8cb0-67f83abf796d,87a9c8f0-88db-42ae-bb4e-c6e0606fa78c,2,547.9,FALSE,0
dcf6965c-cfb7-4e8f-992f-4cad310a21fc,303e901f-cfda-41d6-8cb0-67f83abf796d,006852e9-b6ac-4ec5-9822-be3da495ec6e,1,32.92,FALSE,0
250990ef-187f-4b4a-aeeb-c2040bd1b966,de03a512-b85f-4100-a996-caca8ca984ed,62d664c8-8e85-42fc-bf31-ea6403db3ede,3,89.15,TRUE,10.92
10560865-2052-4f01-9c58-9cd0be16be19,de03a512-b85f-4100-a996-caca8ca984ed,1ef2fcbf-53be-430f-9f56-dcf7cbcccf20,2,89.2,FALSE,0
2ad871f5-3e21-4e55-96d1-c38a3951f848,de03a512-b85f-4100-a996-caca8ca984ed,bf53e6bd-9ffe-4eb1-8c4e-366414361bbd,1,96.08,FALSE,0
806cafe5-27bc-4dd3-9751-5eefc6e0ef9e,de03a512-b85f-4100-a996-caca8ca984ed,205f1971-6089-4be1-a77a-3740515a8902,2,112.36,FALSE,0
93a2c58c-45fb-48e0-9a6e-7b08b1bb72f5,55efe105-2e3d-4f95-9752-7dacd7741ae7,2b4f600f-477d-420b-ab6b-e826bf3b92a2,1,720.44,FALSE,0
e0befbb9-3226-4fe1-8ec7-0f387c953a93,55efe105-2e3d-4f95-9752-7dacd7741ae7,989d3650-2ad3-4bdc-b7e4-19914e922cf0,1,1342.36,FALSE,0
ee2538c4-3122-47fa-a123-c76904034eb5,55efe105-2e3d-4f95-9752-7dacd7741ae7,9c723188-dea2-4a61-bbad-be6ad91ec22f,2,46.37,FALSE,0
bcf4c5e5-51e3-43d4-8e35-93b866f597ca,55efe105-2e3d-4f95-9752-7dacd7741ae7,af2667b3-c1c9-419c-a301-2cca43f40f8c,1,119.45,FALSE,0
55022219-0c99-4f6d-988f-c13a82d08d8c,55efe105-2e3d-4f95-9752-7dacd7741ae7,08dcff0b-5e8b-4503-9d49-dcf364c68252,2,40.1,TRUE,6.6
bb14769e-f6af-4590-abc9-fe1bcb3e51be,c4cfde58-2705-4dc4-be9d-454da79ba236,f0a31596-7ad1-47ee-b6eb-abf7666a3685,2,798.64,FALSE,0
d893dc32-1185-419a-839d-d739ceb9d252,c4cfde58-2705-4dc4-be9d-454da79ba236,ecb6278a-763c-4c62-8cd9-e94f5ac92716,3,206.45,FALSE,0
6c919d08-b7c6-4719-a437-2f735ae36f4f,c4cfde58-2705-4dc4-be9d-454da79ba236,6dd5d48a-534d-4bf7-9fdb-28b26336511e,1,144.97,TRUE,14.45
f8964397-cf61-4e69-a46c-e2ba5c01e342,c4cfde58-2705-4dc4-be9d-454da79ba236,298a5f27-b3a2-41a3-976b-802af172aca0,1,168.55,FALSE,0
75b58353-115f-4f33-ada5-bd3f51a91d9d,c4cfde58-2705-4dc4-be9d-454da79ba236,29d456f5-9eb8-432c-80bf-b35186874c68,2,254.38,FALSE,0
f8fa0e39-419a-40a1-ab21-6a59900d8da6,b12b1518-1bcc-4652-8e2c-dbd635b27f62,c64c6b0d-cca2-4326-b850-5c5a89525c55,1,424.58,FALSE,0
96a30820-97c4-4bce-bdae-d55652788085,b12b1518-1bcc-4652-8e2c-dbd635b27f62,2520246c-b057-422a-9dfe-d42b7463ef38,2,243.36,TRUE,41.67
bbefa7aa-4dc6-40a4-ab6c-6bfdd53cf6ae,b12b1518-1bcc-4652-8e2c-dbd635b27f62,cd4d8757-ff08-40e0-a4f7-5d4f91d90b5f,2,16.31,FALSE,0
8e1d8958-a3f8-45a8-9f35-63aa2bad8fca,b12b1518-1bcc-4652-8e2c-dbd635b27f62,90acdc3d-d715-40a4-8f25-e84f746b1c3e,3,49.6,FALSE,0
09418c9a-42b4-4429-a6f2-4599ce514d03,90af7aa9-7ea5-456c-8f25-30744d26d510,504ab0a9-7471-4048-9f1f-7bc35e37e989,1,49.78,FALSE,0
1875c495-ecda-4853-b4e2-cdb24ed268b4,90af7aa9-7ea5-456c-8f25-30744d26d510,1ef2fcbf-53be-430f-9f56-dcf7cbcccf20,1,89.2,FALSE,0
